id,document,label
16194067,고딩때 극장에서보고 10년넘게 지나서 직장인돼서 또봤는데 직장인이면 정말 재밌게볼영화한장면 한장면 재밌어요!!! ,1
16194066,즐겁게 봤는데요 너무 평이 안좋아 깜짝 놀랐어요 유쾌한 로맨틱 코미디 보고 온 기분이에요 ,1
16194065,초반부터 조정석 클라이밍 하는데 잘 올라갈거 알지만 완전 리얼한 연기로 정말 손에 땀을 쥐고 보기 시작했습니다!! 진짜 꿀잼~~~ 스트레스도 날라가구여 짜릿짜릿한 영화였습니다~ ,1
16194064,3시간인줄 알았다면 안봣을텐데...1은 단체폭력 2는 언어폭력 쫌 웃김 ,1
16194062,그냥저냥 볼만해요~ 근데 영국사람들 보라고 만든 영화같아요 ㅋㅋ ,1
16194060,신파를 조금더 개연성있게 만들었다는 것말고는 뻔하디 뻔한 전형적인 코미디를 가장한 신파영화 ,0
16194059,댓글알바 너무하는거아녜요?감독님 열심히하시는건좋지만 아직재미는없습니다 없어도너무없어요 그래도화이팅!! ,0
16194058,불면증치료에 최고로 적합합니다 ,0
16194057,지루하고 내용도 허접해요. ,0
16194056,알바가 판친다 적당히좀 하세요 별반개도 아까우니까 ㅡㅡ ,0
16194054,연기 문제가 아니라 음..스토리? ,0
16194053,평점 원래 잘안다는데 이건정말 대실망 ㅠ ,0
16194052,이거 혹시 배우들도 속은거 아닐까? 배우도 스토리가 산으로 갈줄 몰랐는데 대본을 서서히 공개해서 산으로 가는 대본 뒤늦게 알았는데 이미 찍을대로 찍어서 못도망친거지 ,0
16194051,"엔딩크레딧 올라갈때 관객의 절반 이상이 기지개 켜는 신기한 광경 볼 수 있음. 일반 2D로 본 것도 짜증났는데, 아이맥스나 4D로 봤으면 진심 개빡쳤을 듯. ",0
16194050,sf 라니까 스타워즈처럼 액션을 바란건가? 이렇게 완벽한 스토리와 심리 묘사를 해낸 영화를 지루하다고 하는사람들은. 그냥 b급 액션 영화나 챙겨 보시길 ,1
16194049,중간에 보다가 나온적은 아수라이레 처음인듯 ,0
16194048,개독이들 평점테러한건가 ,1
16194047,이거 평안좋다고 한사람들 특징영화관에서 무서워서 빼애액 빼애액 꺄아악 실컷하다가 영화 끝나고나서 뭐야 뭐 별거없네 하는사람들일듯영화보는내내 뒤에서 소리지르던 커플 남자 나올때 여친한테 하는말 아 ㅈㄹ 시시하네 ㅋㅋ ,1
16194046,역시 빵오빠 최고네요 ^^♡ ,1
16194045,볼만한건 마지막 엔딩크레딧 뿐. ,0
16194044,"제발 한국영화랑 비교하지 마세요. 재미로 보는 영화, 상상력으로 보는 영화, 배우때문에 보는 영화 , 취향은 저마다 다릅니다. ",1
16194043,류승범보러갔다가스토리에실망 ,1
16194042,태어나서 처음으로 평 씁니다. 진짜 그냥 없습니다. 모가요? 재미도 감동도 스토리도 아무것도 없어요. 아니 그냥 없어요. 앞으로는 있을거냐고요? 아뇨 없다구요 ,0
16194041,다필요없고 자녀가 있으신분들은 완전강추.깨달은게 많고 제인생과 제생각을 다시한번더 성숙하게만들게해준 영화ㅠㅠ솔직 처음에는 지루하나 후반부터 펑펑 울었어요. 저는 스릴러 반전 범죄 영화좋아하는 사람이지만 이거보고 내가왜 지금까지 이렇게살았지...ㅠㅠ ,1
16194040,처음부터끝까지 잔잔하다 나는 졸지 않으려 했으나 이기지 못했다 이걸 보고 안잤다면 정말 대단하다.. ,0
16194039,중간은 가는 영화 폭력써클 맘에 안듦 ,1
16194038,악마가 너무 대놓고 물리력을 쓰며 살인하네 요괴냐! ,0
16194036,이 영화 밤에 보고 집에 왔는데 길고양이 보고도 놀랬다 진짜 무섭고 영화 좋았다 강동원느님이 젤 좋았지만ㅋ 박소담 진짜 무서웠어ㅜㅜ ,1
16194035,영화 제목이 왜 '안녕  베일리'인지.. 결말을 보면 알 수 있어요.. 아 감동... ㅠㅠ ,1
16194034,액션신 기대하고 보시는거면 안 보시는걸 추천 드려요 저는 끝까지 보긴 했는데 보다가 졸려 죽는줄 알았음 ,0
16194033,아무생각없이 봤다가!현실적인고 감동 또한 생겼네요방사능의 위험에 대해서 다시 한번 생각 할수있고마지막 장면에서 눈물샘폭팔이네용 ,1
16194032,응답하라 시리즈보는게  1000배  낫습니다감독은 대체뭐지 하는 생각을  처음했습니다 ,0
16194031,음악이 계속 귓가에 멤도는 ,1
16194030,진짜 너무 억지스럽고 재미없던데 ㅠㅜ ,0
16194029,그냥 그렇습니다.. 조금 슬프네요 ,1
16194028,김무열 연기 왜이렇게 오바함??? 전혀 자연스럽지 못하고 억지연기 진짜 별로다 마동석이 정말 연기 잘하는 사람이네 비교된다 ,0
16194026,탕웨이 눈빛 만으로 10점 ,1
16194025,"개인의 일상을 충실히 보여 주는 것으로  한 세대를 구현하는 일, 훌륭한 영화 ",1
16194024,평점 조작같다. 그냥그냥 평범한 스파이더맨의 사랑이야기. ,0
16194023,다음편이 맨인블랙인가요?? ,0
16194022,개취라지만 소문난 잔치에 먹을게 없네. ,0
16194021,뭔가 애매함..남자배우만 좀 바꿨으면 더완벽했을텐데.. ,1
16194020,나도 재미는 없었지만... 여기서 재미없다고 하는 사람들에게 몰상식한 폭언과 비아냥을 남기는 작자들은 도대체 뭘까? 대체 왜 영화를 보는걸까? 영화 속 악역이 바로 그들 자신의 모습이다. 그것을 자기들만 모른다. ,1
16194019,이거 이재명 모델로 만든영화네 ,1
16194018,너무 극과 극인 평인데 ?뭐지? ,1
16194016,역사를 알린다는 점에서 높은 점수를 주고 싶지만 직품성이 너무 없네요 ,0
16194015,"편하고 재미있게 볼수있는 영화인거 같아요 ! 드라마 원작느낌은 있으나 다른부분이 더많았고  강예원,김상중 간암 스토리는 후편을위한 떡밥인거같은데.. 왜 이해못하는지..탈옥범들이 주요인물인줄 알았는데..너무쉽게..그래도 다들연기잘하고 김아중존예 ;; ",1
16194014,장면 하나하나는 아름다우나 개연성이 1도 없음. 로맨스인데 여주 남주에게 감정이입이 안되는 말도 안되는 영화. 내가 보자고 했는데 같이 본 남자친구한테 미안하더라 ,0
16194013,와! 로봇 정말 최고인걸? ,1
16194012,두 배우의 연기가  정말 몰입하게 만드네요. 좋았습니다. ,1
16194011,기대없이 가서 편하게 웃고 울다 왔네용 ,1
16194010,생각보다 류승범의 비중이 아주 적음.. 조연급? ,1
16194009,초등학교2학년때 마지막 장면보고 무서워서 한동안 얼음처럼 있었던 그기억 아직도 생생합니다. ,1
16194008,마땅히 볼 영화가 없어 봤는데 우주에 관한것엔 관심이 없어 그런지 영화도 재미난줄 몰랐네요. 30여분 빨리 나와버려 끝이 어땠는지는 모르겠어요 ,1
16194007,"개를 키워본사람은 개가 다른 모습으로 돌아온다는걸 압니다,정말 잘만든 애견영화에요 추천합니다 ",1
16194006,동석이 형님 액션신이 재미있던 영화입니당 ,1
16194005,개쌉노잼. 영화1도 모르는 급식이 봐도 개연성 ㅆㅎㅌㅊ인걸 느낄 수 있었음. 정해인 얼굴로도 커버 불가. 역시 영화리뷰는 믿을 수 없다는걸 메이즈러너3이후로 다시 느낌 ,0
16194004,솔직히 정말 재밌게 봤습니다 ,1
16194003,나쁜영화는 아닌데  각 인물들 감정선이 너무 많고 복잡해서  어려웠던 영화 . 사실 좀더SF 적인 걸원했는데...그래비티 + 퍼스트맨 섞은듯. 한번번 가지고는 영화 전체를 볼수 없는 그런영화 ,1
16194002,영화 자체만 보면 볼만하고 재미있는데 타짜 1이 넘사벽이라 비교 많이 당하는듯;; 중간에 잠잤다고 욕하는 사람들은 이해 안감 그 정도 아니고 타짜 1과 끊임없이 비교하지말고 그냥 보면 재미있음 ^^ ,1
16194001,절대 심야시간에는 보지 마시길...기억나는거 영화 시작 브래드 핏트 얼굴 중간에 한번 깸 개코 원숭이 터지는 장면 우주 해적들과의 추격전 그리고 마지막 브래드 피트 형 얼굴뿐.... ,0
16194000,"이제 무서워서 못 살겟네,,ㅜㅜ ",1
16193999,개연성 부실... 왜 이런장면이 나오지?라는 생각이 너무 많이남.. 캐릭터도 설득력이 없음 ,0
16193998,긴장감과 스릴있어요 두 주인공들 연기도 좋아서 재밌게 봤어요 ,1
16193997,아름답고 슬픈 시... 가슴이 아려오는 결말 ㅠ ,1
16193996,재미있게 잘봤습니다^^ ,1
16193995,제발 님들아.. 한국영화의 발전을 조금이라도 생각하신다면 평점 제대로 다세요. 평점은 인기 배우순으로 점수를 주면 안됩니다. ,0
16193994,퍼스트맨으로 실망한 우주영화 애드 아스트라로 만회하네요. 처음 타워에서 서지로인해 추락하는 장면과 중간중간 볼거리가 있어 지루할 틈이 없네요. 개인적으로 인터스텔라보다 더 재미있게 보았네요. 타미리존스 많이 늙었네요.인류에게 해끼칠의도는절대아님! ,1
16193993,진짜 병맛이네요 ㅅㅂ황당하네 ,0
16193992,오늘 밤 유난히 달이 밝아 보인다. ,1
16193991,반전이 잇것지 중간중간 안잘려고 노력한 내 노력이 헛수고 ,0
16193990,몽환적인 분위기에 잔잔한 영화 재미있게 봤어요 ,1
16193989,서사 내의 불필요와 불협화음이 꽤나 잦다 ,1
16193988,"퍼스트맨과 비슷함(영화 전체적으로 정적이며, 조용하다. 주인공의 고뇌를 잘 표현. 영화가 주는 메세지가 확실함. 다만 흥행적인 요소는 거의 없다. 긴박감이나 긴장감은 거의 없다.그래서 흥행하기에는 무리가 있다. 단순한 오락거리로 영화를 본다면 실망) ",1
16193987,"15세로 바뀌고나서 드라마에서 느껴지는 분위기도 사라지고, 또한 드라마에서 나오는 배우들만 그대로 썼었으면 좋았을 텐데ㅠㅠ 물온 강예원님은 다른 배우로 바꾸고;; ",0
16193986,우리는 존재 자체로 하나의 작은 우주임을서로의 눈에 비친 눈동자가 가장 빛나는 별임을 ,1
16193985,좀 어렵고 혼란스럽지만 감동이 있는 영화 ,1
16193982,노래만 좋았다. 노래때문에 7점. ,1
16193981,꿀잼ㅜㅜㅜ 페미언니들 테러하지뭬요 ,1
16193980,잤다는놈들의 인생영화는 마동석유머 영화겠지. 비방할걸해라. 기생충 만도 못한 모자란 것들아. ,1
16193979,애증의 관계인 두 빡빡이의 유쾌함 ,1
16193976,차라리 마지막에 고백하기전에 무대위에서 렛잇비 풀버전으로 불러줬더라면 명장면이 됐을지도 모르지.. 안타깝다.. 마지막 엔딩크래딧을 제외하곤 전부 중간에 끊어버리는 명곡들.. ,0
16193977,배경만 우주고 심리영화 ,1
16193975,러닝타임동안 잘봤습니다 긴 시간임에도 불구하고 완급이 꽤 적절하였으며 루즈하지않고 몰입할 수 있었습니다 ,1
16193974,평점에 속아 영화본 내돈이 아깝ㅜㅜ 진짜 뭔가 부족한듯한 영화임..뭐가빠진거같고 허무하고..그러네요 ,0
16193973,집중이 안돼..음악 영환 줄 알고 음악 기다리다보니 끝..존 레논 나올 때만 우와했네 ,0
16193971,훌륭한 자료입니다. 먹먹하네요. ,1
16193970,그냥....귀엽다ㅎㅎㅎㅎ ,1
16193969,시작은 궁금함 중간은 혼란 마지막은 헛웃음그럼에도 불구하고 난 재밌었다. ,1
16193968,볼만한 괜찮은 영화인거같음 ,1
16193967,"크리스틴 스튜어트의 뛰어난 연기력에 한 번 놀랐고, 아이 메시지를 주고 받는 것 만으로도 스릴러를 만들어내는 감독의 뛰어남에 두 번 놀란 영화. ",1
16193966,아모르파티 ...어른기준 (아이들 마냥 좋음) ,1
16193965,그저그랬습니다 ㅎㅎㅎㅎ ,1
16193964,평점이 별로였어서 안볼려고 했는데 우연히 기회가 생겨 봤는데.. 나만 재밌었나...? 저는 재밌었습니다!! ,1
16193963,좋았습니다 90년대감성 ,1
16193962,"뤽베송이 주인공을 염두해놓고 영화를 만든것같음. 아주 찰떡에 매력넘쳤고, 나머지 눈에 익은 주조연들이 영화의 약간 모자란 느낌을 채워주네요. ",1
16193961,엄마 존나 노답이네;; ,0
16193959,꼭 이런영화는 평식이 평점없드라  요것봐랔ㅋㅋ ,1
16193958,코미디영화라 생각했건만~ 많은걸 생각하게 하는 영화 ,1
16193957,작년에 티저떴을 때부터 정말 기대 많이 했는데... 비틀즈를 좋아하지 않는 나지만 이건 그냥 흔한 사람소재 영화도 이상도 이하도 아님 ,0
16193956,관객113명은 머하는 사람들일까? ,0
16193955,"너무 현실적인 가정의 모습이 마음 아프기도, 미소지어지기도 했습니다. ",1
16193954,현빈 공조에서 임철령 너무 멋지다! 액션 진짜 너무 잘한다. 공조 꿀잼! ,1
16193953,소방관 스토리 영화 No.1 ,1
16193952,노래 넘나 좋은것... ,1
16193951,현빈 화난 등근육 예술이다! 정조에 대해서 알게 되어 좋았음! 현빈 왕연기 대박 잘해! ,1
16193950,하도 SNS에 동영상으로 올라와서 찾아서 봤는데 신선하고 재밌었네요. 특히 후반부에 접어들면서 고구마 100개 먹은걸 사이다 한병으로 뇸 정화시켜주니까 더 좋았던거 같네요 ,1
16193949,인터스텔라를 기대하고 가면 아쉬움이남음 ,1
16193948,"좋은 소재, 좋은 배우들로 만든 망작. 예전 빅뱅이론 에서 언급된 이후 줄곧 개봉을 기다려왔는데, 매우 실망스러움. 설득력도 없고, 중심도 없는 대본, 산만한 연출, 대체 무엇을 말하고 싶었는지 알 수 없음. ",0
16193947,진짜 이 영화 재미없음 처음부터 끝까지 반전도 없고 나오는 사람마다 속았다고 함.. 하..내돈.. ,0
16193946,왕자로 안 돌아가도 괜찮았을듯 ,1
16193945,정말 재밌게 봤습니다 명탐정코난 제작팀 여러분께 감사드립니다 ,1
16193944,정신을 차려보면 주인공들과 함께 쫓기는 기분을 느낄 수 있다. 몰입감 최고! ,1
16193943,정말 명작입니다!꼭 보세요! ,1
16193942,"애거사 팬인데, 이 원작도 사실 범인 기억안날 정도로 전 별로였어요. Y의 비극이 낫습니다. ",1
16193941,남자끼리 뭔가 할려고 할때마다 너무 불편했다.ㅜㅜ 버니와의 우정 강추 ,1
16193940,"이런 영화가 900백만이 넘다니,, 요즘 한국영화 나오는게 20년전 조폭 싸구려 영화류가 많은데 그건 이런 싸구려 영화를 보는 관람객의 문제다! 그러니 좋은 영화가 안나오는 이유,, 난 다운받아 봤지만 유지해서 보다 말았다 ",0
16193939,리스트 곡 중 가장 좋아하는 곡인데 여기서 이렇게 쓰이니깐 기분이 좀.. ,1
16193937,재밌다재밌다재밌다재 ,1
16193936,우주악당 아버지를 막아라! ,1
16193935,요즘같은시대에 한번 더 생각나게해주는영화 ,1
16193934,나름 웃기고 슬프고 그랬어요.. ,1
16193933,이런거만들어도 또 영활 찍는거보면 전생에 나라를 구한듯 ,0
16193932,타짜2  기술자들  꾼.. 이영화들 특징이 스토리가 막히면 반전이라하고 또 막히면 반전이라하고.. 반전이 2번이상 나오면 영화의 질이 확~떨어진다 ,0
16193931,영화 뒷부분에 불빛이 계속 깜빡거리는데 눈알뽑히는줄 알았습니다 보지마세요 역겨운 영화임 ,0
16193930,정말 재밌게 본 영화 잔잔하지만 영화의 모든걸 갖췄음 ,1
16193929,영화 끝나는 시점에아휴 하는 탄식이...제일 재미없는 영화였어요. ,0
16193928,왜 평점이 높은지 도대체 알 수가 없네 ,0
16193927,무서운것 만큼은 좋았지만 재미는 그닥 ,1
16193926,콜린퍼스 미모와 목소리가 다 한 영화... ,1
16193925,이 영화가  끝나고  나서야 벤자민 버튼의 시간은 거꾸로 간다와 같은 느낌을 받았음 ,1
16193923,영상은 매우훌륭~ 결말은 약간 아쉽네요 ,1
16193922,재미없다....돈주고 보지말자고 ,0
16193921,너무 재밌고 감동적이었어요 ,1
16193920,캬 지렷다 의외네 감독 다른 영화볼려고 검색햇더만 업네 다음작이 기대되는구만 ,1
16193919,요즘 스크린에서 해주는데 시간이 길지만 볼만한 스토리다. ,1
16193918,노무현 정부때 일어난 최악의 추악한 사건.. ,1
16193917,올해최소영화 짝짝짝짝굿 ,1
16193916,평생 기억에 남을 명작 휴잭맨은 로건을 연기한게 아니라 로건 그자체였다 ,1
16193915,재밌네요... 가끔 생각나면 볼만한 영화... ,1
16193914,재미있게 봤습니다. 괜찮네요 ,1
16193913,브래드피트의 감정이 없는 연기보다 감정이 보이는 연기를 보고싶었는데 그게 좀 아쉽네요 ,1
16193912,진짜 재미있고.. 마동석의 액션신은 대단하다고 느낄수 밖에 없는 영화... 귀욤도 플러스... ,1
16193911,진짜 노잼이고 이거 볼빠엔 그냥 다른거 하세요... 굳이 이 영화를 찾지 마세요... 노잼... ,0
16193910,아....내 돈~ㅠㅠ ,0
16193908,90년 당시에도 옛날영화 보는 느낌이었는데 장면들이 생생하게 살아있었지.. 세월이 지나 다시봐도 웰메이드구나하고 느끼게 해준다. 홍콩영화가 판치던 시기에 흡인력 있게 등장한 우리나라 영화 ,1
16193907,아 띄바~~ 아 좐나~~~ 밖에 안남은 역대급 괴작 ,0
16193906,역시 마동석입니다. 전체적인 영화의 주역입니다. ,1
16193905,나의 존재감을 잃고 살아가며 자신을 없앨 필요 없다. 그 존재 자체가 큰 행복이자 바로 내 자신인 것.뒤돌아 보지 않을 것. ,1
16193904,군대에 있는 1분 1초도 지겹고 아무것도 하기싫어서 온몸을 비트는게 엄청 공감되는데 ㅋㅋ 장교가 2년 허송세월보낼거냐 하는거까지 완벽했음  당당하게 저 정도까지 철저하게 하는건 대단한거지 ㅋㅋ ,1
16193903,진짜 잘 만들어진 영화라고 생각됩니다 ,1
16193902,1점 준 사람 있어서 10점 줘요 가볍게 보기 좋아요 ,1
16193901,개 꿀잼인데 평점 낮은거 삽 노이해 약간 옛날풍 분위기라 더 재밌는듯 ,1
16193900,결말이 너무 슬픈네요ㅠㅠ ,1
16193898,헨리 너무 귀엽고 좋아요 ㅎㅎ  사랑을 느낄 수 있는 따뜻한 영화..  눈물도 흘리면서 봤어요 ㅠ ,1
16193897,"웹툰을 보고,영화를봐야해요 ",1
16193895,0점 주고 싶은 영화. 왜 주인공만 빼고 코카콜라 해라포터 등의 존재를 모른다는게 아직도 이해가 안됨. 이 영화 난잡 및 조잡함... 여자주인공만 이쁨 ㅜㅜ ,0
16193894,저급한 역사왜곡 반미영화 ,0
16193893,"관람객 평점과 네티즌 평점만 비교해봐도 10점준 관람객과 네티즌 비율은 얼핏 비슷한데, 1점준 관람객 비율과 네티즌 비율 좀 봐봐요. 평점 테러가 있는듯 해서 8점 주려다 10점 줘여.  배우들 연기와 연출 넘 좋았어요. 다만 편집이 좀 아쉬울뿐 ",1
16193892,최소 이정도평점짜린 아니라서 10점줌 ,1
16193891,연출이 말이 되는게 정말 단 하나도 없는 SF영화 ,0
16193890,내가 1점을 다 달아보내.. 딱 6점 짜리 영화 였음.애초에 써지에 대한 설명도 부족하고 설득은 무슨 그냥 화성에서 바로 특공대 보내지 그랬냐 ,0
16193889,900만에 9점 영화는 좀.. ,0
16193887,은희와 그때의 나를 꼭 안아주고 싶어진다 ,1
16193884,노래가 너무 좋아요 한번 영어판으로 봐 보세요. ,1
16193883,끝까지 나쁜년 속죄라는 말은 그럴때 쓰는게 아닌데 나베스럽다 ,1
16193882,졸귀탱 ㅠㅠㅠㅠ사랑스러웡 ,1
16193881,끝도없는 격투신 ..적당했으면 좋았을걸 ,1
16193880,차라리 장혁을쓰지.. 도긴개긴인가? ,0
16193879,영화에서 헨리 의상 보면 동양인 엄청 무시한 느낌.. 완전 촌스럽고 거지같이 입혀놨어. 그리고 부모가 자식  엄청 엄격하게대하는거 동양인 고정관념 중 하나인데 그걸 또 영화에 이용하네 ,1
16193878,평점아 왜이리 높지? 전혀 동의 할 수 없음 ,0
16193877,잘 봤어요 미래를 생각하게되는 영화네요 ,1
16193876,처음부터 끝가지 뭔 내용인지 모르겟는 영화 ,0
16193875,진심 여배우들이 영화 다 조져놓았네.... ,0
16193874,역시 비틀즈 음악 최고네용~강추합니다♥♥♥ ,1
16193873,이게 왜 안떳지?볼만함 ,1
16193872,too too much ,0
16193871,지금 봐도봐도 재밌고 슬프고.. ,1
16193870,고장난 마음이 고장난 시스템에 동화되는 과정. ,1
16193869,기대만큼 재미가없었..  ㅠㅠ ,0
16193868,슈기 나온거빼면 완벽.. ,0
16193867,아름다운 스토리의료보험은 되는지 걱정되던 미국병실남주는 확실히 금수저 같긴 했음 ,1
16193866,눈물이 멈추질 않는다.. 먹먹하다.. ,1
16193865,"뚜쟁이아줌마가 교도소에서 나온 남편한테 맞는 장면, 너무 가학적이었습니다. 그렇게까지 오래 맞는 장면을 꼭 넣어야했는지 매우 충격적이었음. 그리고 민수 ×새끼 ",0
16193864,(7.5점) 괜찮았던 액션 영화! ,1
16193863,방탈출 게임이 현실화 된다면 이런 식이겠지? 전체적인 틀은 큐브 나 쏘우의 아류작 같으나 요즘 인기인 방탈출 소재로 잡은 면에선 괜찮은 스릴러였다 ,1
16193862,난 재밌엇음 사실 우주나 SF쪽은 광적으로 좋아함 ,1
16193861,초반부는 흥미로웠으나 중반이후부턴 너무 억지스러운 전개였음. 스릴러로서는 애매모호! ,1
16193860,애 던지는 장면 정말 역겹고 전지현이 4인용 식탁에선가 애 던지는 장면 생각난다. 문소리 연기 너무 잘해서 무섭다 ,0
16193859,피터가 가장 불쌍하다 이거만 알면 됨 ,1
16193858,양심을 팔아쳐먹은 평론가들주인공은 원수를 용서했지만나는 평론가를 용서못하겠다 ,1
16193857,기대하고 봐서 그런가.. 일단 내용은 뻔해서 좀 진부했음 그리고 아니 이게 가능하다고? 부분도 있고 엥 이거는 좀 무리수인데 하는 부분도 있고ㅠㅠ 그래도 아중언니는 레전드 ,0
16193856,난 되게 재밌게 봤는데;; 사람눈은 다 다르구나 ,1
16193855," 여기 저기서 하도 많이 들어서 재미가 반감됐지만 신선하고 재미있슴 그리고 드론이 세계를 지배할것임 또 조정석은 왕임 철봉왕임 #명대사 ""동네 바보지 뭐"" ㅋㅋㅋ~ ",1
16193854,정은지 연기만 굿. 손나은이 여곡성에서 연기 개못해서 비슷할줄알았는데 정은지는 잘하네 ,0
16193852,다음 내용이 궁금해지며 내가 다 설레이고 떨리는 영화 ,1
16193851,미국인이 중국에서 닌자가 되는 이야기 ,0
16193850,난 재밌게 봤는뎅... ,1
16193849,"""망가진삶들을위하여"" 많은 사람들이 도전하지만 모든사람들이 성공하지는 못한다. 계속해서 실패했을때 계속해도될까 고민되고 그만두고싶을때 노력하고있지만 노력한대로안될때 어떤선택이 옳은지 생각하게되었다. 영화를보면서마음이너무아팠다. ",1
16193848,역시 칸의 여왕...그녀가 오열하니 나도 슬프다 생일에 영화 생일을보고 울엇네ㅠ 살아잇엇으면 평범한대학생이엇을 수호...하늘에서 평안하길 ,1
16193847,푹쉬다 자고왓음  졸림  먼가 작품성이있게하더라도 졸리지않게만들지 ,0
16193846,무료하고 따분한 휴가 별장.익숙한 얼굴들. 핸섬가이 등장. 주인공은 지적이고 훤칠한 그와 함께 시간을 보내면서 일어나는 인간에 대한 감정. 이건 동성애에 관한 영화가 아니다. 내면의 감정에 솔직해지는 인간애를 그렸을 뿐. 여성이 등장했어도 상황은 동일 ,1
16193845,이OOO 패널고치느라 다OO거아녀 OO 암덩어리년 ,1
16193844,감독의 애정 담긴 바이오 다큐. 엔딩곡에 전율이. ,1
16193843,"TMI>촬영기간보다 홍보하려고 다닌시간이 더 길었다고. 콜바넴 찍으려고일부러 살뺀 아미해머. .티모시는 인터뷰내내 복숭아 질문이 빠지지않았았고, 촬영장소인 크레마는 감독의 실제 거주지. (유튜브에 콜바넴 인터뷰 많음) ",1
16193842,정말 현실적으로 영화를 담아내어서 마음에 들었다. 솔직히 이보다 엔딩을 더 깔끔하게 마무리 지을 수 있을까? 연출 연기 각본 모든것이 마음에 든다. 고로 이건 명작이 되어야 한다. ,1
16193841,고교시절 나의 인생영화. 고맙습니다 ,1
16193840,재밌긴 한데 중간중간 스토리가 어디서 본거 같은게 많이 있던데? ,1
16193839,이준익 감독의 최고작을 왕의 남자라고 바로 대답하기 어려운 영화가 이 영화때문이다 ,1
16193838,낮은평점은 조작. 재밌습니다 ,1
16193837,전설의 록키 ㅎㅎ  어 렸을때 워낙 재미있게 본 영화라 시리즈 나오는 쪽쪽히 다 봤다. 갈수록 그 감흥도 줄어들고 좀 아쉽지만 그래도 록키라는 캐릭을 끝까지 살려가는것이 좋았다 . 시리즈 보면서 그래도 전편이랑 엮어나갈려는 각본은 마음에 들었다.^^ ,1
16193833,왠지 거울의 나를 보는 듯 함. 튼튼이의 모험은 나도 하고 있다. 너무 리얼하게 표현해서 굉장히 재밌었음. ,1
16193831,따따따 / 따따따 / 따따따 / 따따따 ,0
16193830,여러분이 생각하는 오락 영화는 아님 ,1
16193828,"잭이 세상으로 나와 느끼는 것들을 정말 표현잘해줫음ㅠㅠㅠㅠ 브리라슨 인터뷰도, 사회에서 이 가족에게 대하는 태도?가 한국이였다면 어땟을까 라는 생각이 많이 들었음.. ",1
16193827,지루하지만 이건 봐야한다. 보다보면 결코 지루하지 않다 . 엄석대 이분이 없었다면 아마 다른 사람이라도 했겠지만 뭐든지 발판의 주인공이 영웅이다.  개인적으로 홍경인 인생작인듯..솔직히 홍경인 여기보다 연기잘하는거 본적이 없다. ,1
16193826,감독이 이것도넣고 저것도넣어봐야지 했는데 그게 잘 어울러지지못하고 삼류아류작이된듯 후반은 무슨 원피스인줄;; ,0
16193825,별로 재미없음 ㅠㅠ 송지효는 현관문이열리고있으면 문잠그는걸 손으로잡고있든 남편이든 경찰한테 전화를해야지 놀라고만있음 어떡해.... ,0
16193824,쌍개주인이 젤 멋있네 ㅋ ,1
